_id,user,status,channel,currentAgent,lastIntent,pageContext,requiresHuman,createdAt,updatedAt,__v,closeReason,humanHandoffReason,expiresAt,searchContext
6a5e41415335905510d7a7f3,69c0ad3d09d9ef031b7677f2,active,b2c_web,applicant_support_agent,application_status,jobs,False,2026-07-20 15:39:45.741,2026-07-20 15:39:47.191,0,,,,
6a5ece32c7e5326f7b8003b7,6a5ec519c7e5326f7b80025a,active,b2c_web,applicant_support_agent,cv_help,cv_editor,False,2026-07-21 01:41:06.863,2026-07-21 01:41:08.290,0,,,,
6a62356f3fafee834daef096,6a3d79f1e681ba17266fa1e8,active,b2c_web,human_handoff,human_handoff,cv,True,2026-07-23 15:38:23.143,2026-07-23 23:15:26.321,0,,El usuario solicito atencion humana o reporto un problema sensible.,,
6a6282a73fafee834daeff51,69c0ad3d09d9ef031b7677f2,active,b2c_web,course_sales_agent,courses_sales,courses,False,2026-07-23 21:07:51.522,2026-07-23 21:08:18.833,0,,,,
6a63efa93de3c4d6f2698043,6a3d79f1e681ba17266fa1e8,active,b2c_web,course_sales_agent,courses_sales,courses,False,2026-07-24 23:05:13.658,2026-07-24 23:07:09.950,0,,,2026-08-23 23:07:09.949,"{'domain': 'courses', 'tokens': [], 'offset': 6, 'modality': None, 'freeOnly': False, 'certifiedOnly': False, 'isProfileRecommendation': False}"
6a6c44502126065e0df2d353,6a6c423f2126065e0df2d246,active,b2c_web,applicant_support_agent,cv_help,cv_editor,False,2026-07-31 06:44:32.044,2026-07-31 06:44:32.452,0,,,2026-08-30 06:44:32.450,
6a70b5679e6dd9dda5ea846e,6a70b36a9e6dd9dda5ea7ae8,active,b2c_web,applicant_support_agent,cv_help,cv,False,2026-08-03 15:36:07.906,2026-08-03 15:36:10.204,0,,,2026-09-02 15:36:10.204,
6a70b78e9e6dd9dda5ea88ca,6a70b37a9e6dd9dda5ea7b53,active,b2c_web,applicant_support_agent,cv_help,cv,False,2026-08-03 15:45:18.014,2026-08-03 15:45:54.752,0,,,2026-09-02 15:45:54.752,
6a70b8129e6dd9dda5ea913b,6a70b36a9e6dd9dda5ea7ae8,active,b2c_web,applicant_support_agent,cv_help,cv,False,2026-08-03 15:47:30.763,2026-08-03 15:47:32.548,0,,,2026-09-02 15:47:32.548,
6a70b8bd9e6dd9dda5ea97dc,6a70b5789e6dd9dda5ea8497,active,b2c_web,applicant_support_agent,cv_help,cv,False,2026-08-03 15:50:21.152,2026-08-03 15:51:50.169,0,,,2026-09-02 15:51:50.169,
6a70b9069e6dd9dda5ea9a8f,6a70b00f9e6dd9dda5ea761b,active,b2c_web,applicant_support_agent,cv_help,cv,False,2026-08-03 15:51:34.418,2026-08-03 15:51:36.037,0,,,2026-09-02 15:51:36.037,
6a70b9b49e6dd9dda5ea9eb8,6a70b3589e6dd9dda5ea7a89,active,b2c_web,applicant_support_agent,cv_help,cv,False,2026-08-03 15:54:28.330,2026-08-03 15:54:30.166,0,,,2026-09-02 15:54:30.166,
6a70bd589e6dd9dda5eaa515,6a70b3bd9e6dd9dda5ea7cb4,active,b2c_web,course_sales_agent,enrollment_help,events,False,2026-08-03 16:10:00.667,2026-08-03 16:10:00.944,0,,,2026-09-02 16:10:00.942,
6a70be839e6dd9dda5eaa6d5,6a70b95b9e6dd9dda5ea9cd7,active,b2c_web,course_sales_agent,courses_sales,settings,False,2026-08-03 16:14:59.489,2026-08-03 16:14:59.861,0,,,2026-09-02 16:14:59.860,"{'domain': 'courses', 'tokens': ['donde', 'coloco', 'codigo'], 'offset': 0, 'modality': None, 'freeOnly': False, 'certifiedOnly': False, 'isProfileRecommendation': False}"
6a7381a8bf44de367b9010ce,69c0ad3d09d9ef031b7677f2,active,b2c_web,applicant_support_agent,support_platform,general,False,2026-08-05 18:32:08.108,2026-08-05 18:32:10.143,0,,,2026-09-04 18:32:10.142,
6a73bf8bbf44de367b9021a8,68a33ba3cbc08dafe3c27572,active,b2c_web,applicant_support_agent,application_status,jobs,False,2026-08-05 22:56:11.999,2026-08-05 22:56:12.398,0,,,2026-09-04 22:56:12.398,
